Time_s,C&DH_Primary,C&DH_Backup,AACS_RWA,AACS_StarTracker,AACS_IMU,AACS_SunSensor,Telecom_X_SDST,Telecom_X_TWTA,Telecom_UHF_Electra,Propulsion_Valves,Propulsion_Heaters,Thermal_Heaters,Thermal_Louvers,Power_PCU,Power_Shunt,Payload_PFP,Payload_IUVS,Payload_NGIMS,Payload_APP_Actuator
303900.000001118,60,0,35,6,9,1,7.5,0,0,0,5,98.5,1.5,42.5,2.5,40,25,20,12
303959.999997541,60,0,35,6,9,1,7.5,0,0,0,5,98.5,1.5,42.5,2.5,40,25,20,12
304020.000004023,60,0,35,6,9,1,7.5,0,0,0,5,98.5,1.5,42.5,2.5,40,25,20,12
304080.000000447,60,0,35,6,9,1,7.5,0,0,0,5,98.5,1.5,42.5,2.5,40,25,20,12
304139.999996871,60,0,35,6,9,1,7.5,0,0,0,5,98.5,1.5,42.5,2.5,40,25,20,12
304200.000003353,60,0,35,6,9,1,7.5,0,0,0,5,98.5,1.5,42.5,2.5,40,25,20,12
304259.999999776,60,0,35,6,9,1,7.5,0,0,0,5,98.5,1.5,42.5,2.5,40,25,20,12
304319.9999962,60,0,35,6,9,1,7.5,0,0,0,5,98.5,1.5,42.5,2.5,40,25,20,12
304380.000002682,60,0,35,6,9,1,7.5,0,0,0,5,98.5,1.5,42.5,2.5,40,25,20,12
304439.999999106,60,0,35,6,9,1,7.5,0,0,0,5,98.5,1.5,42.5,2.5,40,25,20,12
304499.99999553,60,0,35,6,9,1,7.5,0,0,0,5,98.5,1.5,42.5,2.5,40,25,20,12
304560.000002012,60,0,35,6,9,1,7.5,0,0,0,5,98.5,1.5,42.5,2.5,40,25,20,12
304619.999998435,60,0,35,6,9,1,7.5,0,0,0,5,98.5,1.5,42.5,2.5,40,25,20,12
304680.000004917,60,0,35,6,9,1,7.5,0,0,0,5,98.5,1.5,42.5,2.5,40,25,20,12
304740.000001341,60,0,35,6,9,1,7.5,0,0,0,5,98.5,1.5,42.5,2.5,40,25,20,12
304799.999997765,60,0,35,6,9,1,7.5,0,0,0,5,98.5,1.5,42.5,2.5,40,25,20,12
304860.000004247,60,0,35,6,9,1,7.5,0,0,0,5,98.5,1.5,42.5,2.5,40,25,20,12
304920.000000671,60,0,35,6,9,1,7.5,0,0,0,5,98.5,1.5,42.5,2.5,40,25,20,12
304979.999997094,60,0,35,6,9,1,7.5,0,0,0,5,98.5,1.5,42.5,2.5,40,25,20,12
305040.000003576,60,0,35,6,9,1,7.5,0,0,0,5,98.5,1.5,42.5,2.5,40,25,20,12
305100,60,0,35,6,9,1,7.5,0,0,0,5,98.5,1.5,42.5,2.5,40,25,20,12
305159.999996424,60,0,35,6,9,1,7.5,0,0,0,5,98.5,1.5,42.5,2.5,40,25,20,12
305220.000002906,60,0,35,6,9,1,7.5,0,0,0,5,98.5,1.5,42.5,2.5,40,25,20,12
305279.999999329,60,0,35,6,9,1,7.5,0,0,0,5,98.5,1.5,42.5,2.5,40,25,20,12
305339.999995753,60,0,35,6,9,1,7.5,0,0,0,5,98.5,1.5,42.5,2.5,40,25,20,12
305400.000002235,60,0,35,6,9,1,7.5,0,0,0,5,98.5,1.5,42.5,2.5,40,25,20,12
305459.999998659,60,0,35,6,9,1,7.5,0,0,0,5,98.5,1.5,42.5,2.5,40,25,20,12
305519.999995083,60,0,35,6,9,1,7.5,0,0,0,5,98.5,1.5,42.5,2.5,40,25,20,12
305580.000001565,60,0,35,6,9,1,7.5,0,0,0,5,98.5,1.5,42.5,2.5,40,25,20,12
305639.999997988,36,0,21,3.6,5.4,0.6,4.5,0,0,0,3,59.1,0.9,25.5,1.5,24,15,12,7.2
305700.00000447,36,0,21,3.6,5.4,0.6,4.5,0,0,0,3,59.1,0.9,25.5,1.5,24,15,12,7.2
305760.000000894,36,0,21,3.6,5.4,0.6,4.5,0,0,0,3,59.1,0.9,25.5,1.5,24,15,12,7.2
305819.999997318,36,0,21,3.6,5.4,0.6,4.5,0,0,0,3,59.1,0.9,25.5,1.5,24,15,12,7.2
305880.0000038,36,0,21,3.6,5.4,0.6,4.5,0,0,0,3,59.1,0.9,25.5,1.5,24,15,12,7.2
305940.000000224,36,0,21,3.6,5.4,0.6,4.5,0,0,0,3,59.1,0.9,25.5,1.5,24,15,12,7.2
305999.999996647,36,0,21,3.6,5.4,0.6,4.5,0,0,0,3,59.1,0.9,25.5,1.5,24,15,12,7.2
306060.000003129,36,0,21,3.6,5.4,0.6,4.5,0,0,0,3,59.1,0.9,25.5,1.5,24,15,12,7.2
306119.999999553,36,0,21,3.6,5.4,0.6,4.5,0,0,0,3,59.1,0.9,25.5,1.5,24,15,12,7.2
306179.999995977,36,0,21,3.6,5.4,0.6,4.5,0,0,0,3,59.1,0.9,25.5,1.5,24,15,12,7.2
306240.000002459,36,0,21,3.6,5.4,0.6,4.5,0,0,0,3,59.1,0.9,25.5,1.5,24,15,12,7.2
306299.999998882,36,0,21,3.6,5.4,0.6,4.5,0,0,0,3,59.1,0.9,25.5,1.5,24,15,12,7.2
306359.999995306,36,0,21,3.6,5.4,0.6,4.5,0,0,0,3,59.1,0.9,25.5,1.5,24,15,12,7.2
306420.000001788,36,0,21,3.6,5.4,0.6,4.5,0,0,0,3,59.1,0.9,25.5,1.5,24,15,12,7.2
306479.999998212,36,0,21,3.6,5.4,0.6,4.5,0,0,0,3,59.1,0.9,25.5,1.5,24,15,12,7.2
306540.000004694,36,0,21,3.6,5.4,0.6,4.5,0,0,0,3,59.1,0.9,25.5,1.5,24,15,12,7.2
306600.000001118,36,0,21,3.6,5.4,0.6,4.5,0,0,0,3,59.1,0.9,25.5,5,24,15,12,7.2
306659.999997541,36,0,21,3.6,5.4,0.6,4.5,0,0,0,3,59.1,0.9,85,5,24,15,12,7.2
306720.000004023,36,0,21,3.6,5.4,0.6,4.5,0,0,0,3,59.1,0.9,85,5,24,15,12,7.2
306780.000000447,120,0,21,3.6,5.4,2,4.5,0,0,0,3,59.1,0.9,85,5,24,15,12,7.2
306839.999996871,120,0,21,3.6,18,2,4.5,0,0,0,3,59.1,0.9,85,5,24,15,12,7.2
306900.000003353,120,0,70,3.6,18,2,4.5,0,0,0,3,59.1,0.9,85,5,24,15,12,7.2
306959.999999776,120,0,70,3.6,18,2,4.5,0,0,0,3,59.1,0.9,85,5,24,15,12,7.2
307019.9999962,120,0,70,3.6,18,2,4.5,0,0,0,3,197,0.9,85,5,24,15,12,7.2
307080.000002682,120,0,70,12,18,2,15,0,0,0,10,197,3,85,5,24,15,12,24
307139.999999106,120,0,70,12,18,2,15,0,0,0,10,197,3,85,5,24,15,40,24
307199.99999553,120,0,70,12,18,2,15,0,0,0,10,197,3,85,5,24,50,40,24
307260.000002012,120,0,70,12,18,2,15,0,0,0,10,197,3,85,5,80,50,40,24
307319.999998435,120,0,70,12,18,2,15,0,0,0,10,197,3,85,5,80,50,40,24
307380.000004917,120,0,70,12,18,2,15,0,0,0,10,197,3,85,5,80,50,40,24
307440.000001341,120,0,70,12,18,2,15,0,0,0,10,197,3,85,5,80,50,40,24
307499.999997765,120,0,70,12,18,2,15,0,0,0,10,197,3,85,5,80,50,40,24
307560.000004247,120,0,70,12,18,2,15,0,0,0,10,197,3,85,5,80,50,40,24
307620.000000671,120,0,70,12,18,2,15,0,0,0,10,197,3,85,5,80,50,40,24
307679.999997094,120,0,70,12,18,2,15,0,0,0,10,197,3,85,5,80,50,40,24
307740.000003576,120,0,70,12,18,2,15,0,0,0,10,197,3,85,5,80,50,40,24
307800,120,0,70,12,18,2,15,0,0,0,10,197,3,85,5,80,50,40,24
307859.999996424,120,0,70,12,18,2,15,0,0,0,10,197,3,85,5,80,50,40,24
307920.000002906,120,0,70,12,18,2,15,0,0,0,10,197,3,85,5,80,50,40,24
307979.999999329,120,0,70,12,18,2,15,0,0,0,10,197,3,85,5,80,50,40,24
308039.999995753,120,0,70,12,18,2,15,0,0,0,10,197,3,85,5,80,50,40,24
308100.000002235,120,0,70,12,18,2,15,0,0,0,10,197,3,85,5,80,50,40,24
308159.999998659,120,0,70,12,18,2,15,0,0,0,10,197,3,85,5,80,50,40,24
308219.999995083,120,0,70,12,18,2,15,0,0,0,10,197,3,85,5,80,50,40,24
308280.000001565,120,0,70,12,18,2,15,0,0,0,10,197,3,85,5,80,50,40,24
308339.999997988,120,0,70,12,18,2,15,0,0,0,10,197,3,85,5,80,50,40,24
308400.00000447,120,0,70,12,18,2,15,0,0,0,10,197,3,85,5,80,50,40,24
308460.000000894,120,0,70,12,18,2,15,0,0,0,10,197,3,85,5,80,50,40,24
308519.999997318,120,0,70,12,18,2,15,0,0,0,10,197,3,85,5,80,50,40,24
308580.0000038,120,0,70,12,18,2,15,0,0,0,10,197,3,85,5,80,50,40,24
308640.000000224,120,0,70,12,18,2,15,0,0,0,10,197,3,85,5,80,50,40,24
308699.999996647,120,0,70,12,18,2,15,0,0,0,10,197,3,85,5,80,50,40,24
308760.000003129,120,0,70,12,18,2,15,0,0,0,10,197,3,85,5,80,50,40,24
